code,name,market,industry,close_price,change_rate,market_cap
128660,피제이메탈,KOSDAQ,1차 비철금속 제조업,3000,0.33,74410107000
900260,로스웰,KOSDAQ,기타 금융업,1615,-1.4,74337975190
155660,DSR,KOSPI,1차 비철금속 제조업,4645,-3.03,74320000000
054620,APS,KOSDAQ,기타 금융업,4040,-2.77,74312652840
088390,이녹스,KOSDAQ,그외 기타 운송장비 제조업,7900,1.15,74148167600
096250,와이즈넛,KOSDAQ,소프트웨어 개발 및 공급업,6270,-3.24,74079303870
208140,정다운,KOSDAQ,"도축, 육류 가공 및 저장 처리업",2265,-0.66,74029817190
104040,디에스엠,KOSDAQ,자동차 신품 부품 제조업,2760,0.0,74005439400
124560,태웅로직스,KOSDAQ,기타 운송관련 서비스업,1911,-0.93,73995469821
085670,뉴프렉스,KOSDAQ,전자부품 제조업,3020,-6.21,73992298220
060590,씨티씨바이오,KOSDAQ,의약품 제조업,3055,-4.83,73873016100
234300,에스트래픽,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2715,-1.99,73869122700
171120,라이온켐텍,KOSDAQ,기타 화학제품 제조업,2055,-1.44,73778116800
173130,오파스넷,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",5650,-2.92,73712572450
065510,휴비츠,KOSDAQ,의료용 기기 제조업,6760,-0.88,73534570200
451220,아이엠티,KOSDAQ,특수 목적용 기계 제조업,9330,-4.11,73470120630
084670,동양고속,KOSPI,육상 여객 운송업,25350,-3.98,73402674150
320000,한울반도체,KOSDAQ,특수 목적용 기계 제조업,10610,-5.69,73354038700
389140,포바이포,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업",5140,-2.1,73346437900
294630,서남,KOSDAQ,기타 전기장비 제조업,2760,-5.32,73137734040
277880,티에스아이,KOSDAQ,특수 목적용 기계 제조업,3675,1.1,72923804100
024830,세원물산,KOSDAQ,자동차 신품 부품 제조업,8710,-2.57,72728500000
085310,엔케이,KOSPI,"구조용 금속제품, 탱크 및 증기발생기 제조업",9790,2.3,72622944460
041930,SY동아,KOSDAQ,고무제품 제조업,4775,-4.02,72580000000
067170,오텍,KOSDAQ,자동차 재제조 부품 제조업,2640,15.79,72493824480
006140,피제이전자,KOSDAQ,의료용 기기 제조업,4875,-3.85,72466875000
054040,한국컴퓨터,KOSDAQ,전자부품 제조업,4505,-8.99,72401161450
011150,CJ씨푸드,KOSPI,기타 식품 제조업,2015,-1.47,72400507595
079810,APS이노베이션,KOSDAQ,기타 전기장비 제조업,3360,-4.55,72334395840
